,Column Labels,,,,,
Turkmenistan,5.636,,5.247,-6.90%,10.883,
Algeria,5.295,,5.211,-1.59%,10.506,
Morocco,5.254,,5.208,-0.88%,10.462,
Azerbaijan,5.201,,5.208,0.13%,10.409,
Lebanon,5.358,,5.197,-3.00%,10.555,
Indonesia,5.093,,5.192,1.94%,10.285,
China,5.246,,5.191,-1.05%,10.437,
Vietnam,5.103,,5.175,1.41%,10.278,
Bhutan,5.082,,5.082,0.00%,10.164,
Cameroon,4.975,,5.044,1.39%,10.019,
Bulgaria,4.933,,5.011,1.58%,9.944,
Ghana,4.657,,4.996,7.28%,9.653,
Ivory Coast,4.671,,4.944,5.84%,9.615,
Nepal,4.88,,4.913,0.68%,9.793,
Jordan,5.161,,4.906,-4.94%,10.067,
Benin,4.141,,4.883,17.92%,9.024,
Congo,4.559,,4.812,5.55%,9.371,
Gabon,4.758,,4.799,0.86%,9.557,
Laos,4.623,,4.796,3.74%,9.419,
South Africa,4.724,,4.722,-0.04%,9.446,
Albania,4.586,,4.719,2.90%,9.305,
Venezuela,4.806,,4.707,-2.06%,9.513,
Cambodia,4.433,,4.7,6.02%,9.133,
Palestinian Territories,4.743,,4.696,-0.99%,9.439,
Senegal,4.631,,4.681,1.08%,9.312,
Somalia,4.982,,4.668,-6.30%,9.65,
Namibia,4.441,,4.639,4.46%,9.08,
Niger,4.166,,4.628,11.09%,8.794,
Burkina Faso,4.424,,4.587,3.68%,9.011,
Armenia,4.321,,4.559,5.51%,8.88,
Iran,4.707,,4.548,-3.38%,9.255,
Guinea,3.964,,4.534,14.38%,8.498,
Georgia,4.34,,4.519,4.12%,8.859,
Gambia,,,4.516,,4.516,
Kenya,4.41,,4.509,2.24%,8.919,
Mauritania,4.356,,4.49,3.08%,8.846,
Mozambique,4.417,,4.466,1.11%,8.883,
Tunisia,4.592,,4.461,-2.85%,9.053,
Bangladesh,4.5,,4.456,-0.98%,8.956,
Iraq,4.456,,4.437,-0.43%,8.893,
Mali,4.447,,4.39,-1.28%,8.837,
Sierra Leone,4.571,,4.374,-4.31%,8.945,
Sri Lanka,4.471,,4.366,-2.35%,8.837,
Myanmar,4.308,,4.36,1.21%,8.668,
Chad,4.301,,4.35,1.14%,8.651,
Ukraine,4.103,,4.332,5.58%,8.435,
Ethiopia,4.35,,4.286,-1.47%,8.636,
Swaziland,,,4.212,,4.212,
Uganda,4.161,,4.189,0.67%,8.35,
Egypt,4.419,,4.166,-5.73%,8.585,
Zambia,4.377,,4.107,-6.17%,8.484,
Togo,3.999,,4.085,2.15%,8.084,
India,4.19,,4.015,-4.18%,8.205,
Liberia,3.495,,3.975,13.73%,7.47,
Comoros,,,3.973,,3.973,
Madagascar,3.774,,3.933,4.21%,7.707,
Lesotho,3.808,,3.802,-0.16%,7.61,
Burundi,2.905,,3.775,29.95%,6.68,
Zimbabwe,3.692,,3.663,-0.79%,7.355,
Haiti,3.582,,3.597,0.42%,7.179,
Botswana,3.59,,3.488,-2.84%,7.078,
Syria,3.462,,3.462,0.00%,6.924,
Malawi,3.587,,3.41,-4.93%,6.997,
Yemen,3.355,,3.38,0.75%,6.735,
Rwanda,3.408,,3.334,-2.17%,6.742,
Tanzania,3.303,,3.231,-2.18%,6.534,
Afghanistan,3.632,,3.203,-11.81%,6.835,
Central African Republic,3.083,,3.083,0.00%,6.166,
South Sudan,3.254,,2.853,-12.32%,6.107,
Belize,5.956,,,#NULL!,5.956,
Angola,3.795,,,#NULL!,3.795,
Sudan,4.139,,,#NULL!,4.139,
Grand Total,828.636,,833.043,0.53%,1661.679,
